198206,0.41,0.26,7.96,36,0,4.8,0.5937,0.0146,7.3577,0.0188
198207,0.46,0.26,7.7,34,0,4.6,0.6908,0.0177,7.4548,0.0219
198208,0.46,0.28,7.45,37,0,2.8,0.8017,0.0208,7.5657,0.025
198209,0.48,0.3,7.21,36,1,2.6,0.9038,0.0238,7.6678,0.028
198210,0.49,0.3,7.23,34,2,5.4,0.969,0.0265,7.733,0.0307
198211,0.36,0.2,7,36,2,4.8,1.0763,0.0345,7.8403,0.0387
198212,0.37,0.2,6.89,43,2,4.6,1.2126,0.0407,7.9766,0.0449
198301,0.39,0.22,7,49,2,2.8,0.0617,0.0033,8.0383,0.0482
198302,0.33,0.2,6,45,5,10.4,0.1919,0.018,8.1685,0.0629
198303,0.35,0.17,5.29,32,8,28,0.2914,0.034,8.268,0.0789
198304,0.2,0.17,5.85,17,3,13,0.3396,0.042,8.3162,0.0869
198305,0.3,0.2,6.2,34,6,14.5,0.4262,0.0561,8.4028,0.101
198306,0.2,0.2,6.24,29,14,33,0.4795,0.0814,8.4561,0.1263
198307,0.32,0.2,6.79,27,11,27.9,0.5602,0.1114,8.5368,0.1563
198308,0.26,0.2,5.99,28,5,15,0.6559,0.1335,8.6325,0.1784
198309,0.24,0.2,5.85,38,4,9.5,0.7549,0.1452,8.7315,0.1901
198310,0.22,0.2,5.56,40,5,10.5,0.8762,0.16,8.8528,0.2049
198311,0.22,0.2,5.75,39,4,9.5,0.9031,0.163,8.8797,0.2079
198312,0.2,0.17,5.89,42,8,15.5,0.9855,0.1789,8.9621,0.2238
198401,0.26,0.17,6.38,13,2,13,0.0623,0.0093,9.0244,0.2331
198402,0.26,0.2,6.2,16,3,16,0.1072,0.0172,9.0693,0.241
198403,0.2,0.17,6.95,22,6,30,0.1477,0.0309,9.1098,0.2547
198404,0.2,0.17,6.1,48,7,13.6,0.2892,0.0505,9.2513,0.2743
198405,0.17,0.2,6,51,8,14,0.4192,0.0799,9.3813,0.3037
198406,0.2,0.2,6.01,35,20,37,0.4904,0.1183,9.4525,0.3421
198407,0.2,0.17,5.52,43,6,12,0.6321,0.1379,9.5942,0.3617
198408,0.22,0.2,6.44,41,7,15,0.7464,0.172,9.7085,0.3958
198409,0.26,0.2,6.32,64,15,18.5,0.8915,0.2076,9.8536,0.4314
198410,0.24,0.2,6.7,41,9,17,1.0179,0.2308,9.98,0.4546
198411,0.24,0.17,5.86,37,8,16,1.1359,0.2534,10.098,0.4772
198412,0.24,0.2,4.98,42,10,19,1.2858,0.2849,10.2479,0.5087
198501,0.24,0.2,8.05,43,11,19.5,0.1147,0.0256,10.3626,0.5343
198502,0.22,0.17,7.19,40,8,17,0.2324,0.0484,10.4803,0.5571
198503,0.17,0.17,6.85,39,9,19,0.3622,0.0777,10.6101,0.5864
198504,0.26,0.17,5.23,39,9,17.1,0.4699,0.0999,10.7982,0.6096
198505,0.17,0.17,4.37,40,10,20,0.5882,0.1294,10.8361,0.6381
198506,0.17,0.17,3.85,38,10,20,0.7003,0.1586,10.9482,0.6673
198507,0.17,0.2,2.98,38,8,18,0.8224,0.1852,11.0703,0.6939
198508,0.2,0.2,3.76,36,8,17.5,0.9365,0.2079,11.1844,0.7166
198509,0.2,0.2,3.56,40,9,18.5,1.0519,0.2319,11.2998,0.7406
198510,0.24,0.17,3.7,30,6,17.5,1.1508,0.2521,11.3987,0.7608
198511,0.17,0.2,3.8,34,8,19,1.2539,0.2757,11.5018,0.7844
198512,0.17,0.2,3.55,39,9,19,1.3699,0.303,11.6178,0.8117
198601,0.22,0.17,3,38,10,20,0.1053,0.0265,11.7231,0.8382
198602,0.22,0.17,2.4,34,8,19.5,0.1958,0.0488,11.8136,0.8605
198603,0.2,0.22,3.2,37,9,19.5,0.3038,0.0758,11.9216,0.8875
198604,0.2,0.17,3.23,36,9,20,0.4075,0.1028,12.0253,0.9145
198605,0.2,0.17,2.9,45,12,21,0.5333,0.1356,12.1511,0.9473
198606,0.2,0.2,3.25,37,10,21,0.6278,0.1608,12.2456,0.9725
198607,0.2,0.2,3.38,43,12,22.5,0.76,0.1991,12.3778,1.0108
198608,0.2,0.2,2.98,46,13,22,0.9025,0.2409,12.5203,1.0526
198609,0.17,0.2,3.6,42,13,23.5,1.03,0.2792,12.6478,1.0909
198610,0.2,0.2,3.2,33,9,22,1.1318,0.3088,12.7496,1.1205
198611,0.22,0.2,3.17,30,8,20.5,1.2317,0.3353,12.8495,1.147
198612,0.22,0.2,3.04,37,9,12,1.347,0.3649,12.9648,1.1766
198701,0.22,0.2,2.71,38,11,22,0.1148,0.0295,13.0796,1.2061
198702,0.17,0.2,2.85,35,13,28,0.2077,0.0699,13.1725,1.2465
198703,0.17,0.17,1.95,32,14,30,0.3026,0.1097,13.2674,1.2863
198704,0.2,0.17,1.87,28,13,32,0.3847,0.1472,13.3495,1.3238
198705,0.2,0.17,2.17,29,13,31,0.4735,0.1885,13.4383,1.3651
198706,0.14,0.17,1.94,37,27,42.6,0.5416,0.2418,13.5064,1.4184
198707,0.17,0.17,3.5,47,28,37.4,0.6585,0.3122,13.6233,1.4888
198708,0.2,0.17,2.86,24,14,36,0.7311,0.3541,13.6959,1.5307
198709,0.17,0.2,3.19,24,13,35,0.8006,0.3933,13.7654,1.5699
198710,0.17,0.14,3.24,20,13,38,0.8638,0.4316,13.8286,1.6082
198711,0.17,0.14,3.79,19,14,41,0.9212,0.4694,13.886,1.646
198712,0.17,0.17,3.27,18,12,40,0.9753,0.5044,13.9401,1.681
198801,0.17,0.17,2.98,17,11,39,0.0505,0.0333,13.9906,1.7143
198802,0.17,0.14,3.03,10,8,42,0.0841,0.0569,14.0242,1.7379
198803,0.17,0.14,3.06,11,9,43,0.1184,0.0822,14.0585,1.7632
198804,0.17,0.17,3.91,9,5,38,0.1515,0.1032,14.0916,1.7842
198805,0.17,0.14,3.53,12,8,41,0.1916,0.13,14.1317,1.811
198806,0.17,0.17,4.41,29,24,46,0.2413,0.1671,14.1814,1.8481
198807,0.17,0.17,3.56,30,13,30,0.3068,0.2016,14.2469,1.8826
198808,0.17,0.2,2.72,10,8,43,0.3368,0.2252,14.2769,1.9062
198809,0.17,0.17,3.04,10,7,43,0.3659,0.2473,14.306,1.9283
198810,0.17,0.17,1.91,13,10,42,0.3995,0.2715,14.3396,1.9525
